scientific name,sort v2021
Colinus cristatus panamensis,974.0
Colinus cristatus decoratus,975.0
Colinus cristatus cristatus,976.0
Colinus cristatus littoralis,978.0
Colinus cristatus badius,979.0
Colinus cristatus leucotis,980.0
Colinus cristatus bogotensis,981.0
Colinus cristatus parvicristatus,982.0
Colinus cristatus horvathi,983.0
Colinus cristatus barnesi,984.0
Colinus cristatus mocquerysi,985.0
Colinus cristatus sonnini,986.0
Callipepla squamata,987.0
Callipepla squamata hargravei,988.0
Callipepla squamata pallida,989.0
Callipepla squamata squamata,990.0
Callipepla squamata castanogastris,991.0
Callipepla douglasii,993.0
Callipepla douglasii bensoni,994.0
Callipepla douglasii languens,995.0
Callipepla douglasii douglasii,996.0
Callipepla douglasii impedita,997.0
Callipepla douglasii teres,998.0
Callipepla douglasii vanderbilti,998.5
Callipepla californica,999.0
Callipepla californica californica,1000.0
Callipepla californica orecta,1001.0
Callipepla californica brunnescens,1002.0
Callipepla californica catalinensis,1003.0
Callipepla californica canfieldae,1004.0
Callipepla californica plumbea,1005.0
Callipepla californica decolorata,1006.0
Callipepla californica achrustera,1007.0
Callipepla gambelii,1009.0
Callipepla gambelii gambelii,1010.0
Callipepla gambelii ignoscens,1012.0
Callipepla gambelii pembertoni,1013.0
Callipepla gambelii fulvipectus,1014.0
Callipepla gambelii stephensi,1015.0
Cyrtonyx montezumae,1020.0
Cyrtonyx montezumae [montezumae Group],1021.0
Cyrtonyx montezumae mearnsi,1022.0
Cyrtonyx montezumae montezumae,1023.0
Cyrtonyx montezumae merriami,1024.0
Cyrtonyx montezumae sallei/rowleyi,1025.0
Cyrtonyx montezumae sallei,1026.0
Cyrtonyx montezumae rowleyi,1027.0
Cyrtonyx ocellatus,1028.0
Dactylortyx thoracicus,1029.0
Dactylortyx thoracicus pettingilli,1030.0
Dactylortyx thoracicus thoracicus,1031.0
Dactylortyx thoracicus sharpei,1032.0
Dactylortyx thoracicus paynteri,1033.0
Dactylortyx thoracicus devius,1036.0
Dactylortyx thoracicus melodus,1038.0
Dactylortyx thoracicus chiapensis,1039.0
Dactylortyx thoracicus dolichonyx,1040.0
Dactylortyx thoracicus salvadoranus,1044.0
Dactylortyx thoracicus fuscus,1046.0
Dactylortyx thoracicus conoveri,
Odontophorus gujanensis,1047.0
Odontophorus gujanensis castigatus,1048.0
Odontophorus gujanensis marmoratus,1049.0
Odontophorus gujanensis gujanensis,1050.0
Odontophorus gujanensis medius,1051.0
Odontophorus gujanensis buckleyi,1052.0
